,Unnamed: 0,_id,ltable_ID,rtable_ID,ltable_Album,ltable_Artist,ltable_Release Date,rtable_Album,rtable_Artist,rtable_Release Date,label
476,476,476,a897,b2501,more scared of you than you are of me,the smith street band,Apr 7 2017,"lovely, little, lonely",the maine,Apr 7 2017,0
162,162,162,a1432,b2205,lazarus [original cast recording],various artists,Oct 21 2016,fifty shades darker: original motion picture soundtrack,various artists,Feb 10 2017,0
34,34,34,a2119,b1418,solid states,the posies,May 6 2016,chrome,the screaming jets,May 6 2016,0
44,44,44,a2412,b1228,god don't never change: the songs of blind willie johnson,various artists,Feb 26 2016,nemesis: the best of & reworked,blutengel,Feb 26 2016,0
97,97,97,a910,b2461,close ties,rodney crowell,Mar 31 2017,close ties,rodney crowell,Mar 31 2017,1
85,85,85,a694,b2738,different days,the charlatans uk,May 26 2017,the songs and poems of molly drake,the unthanks,May 26 2017,0
61,61,61,a2905,b865,crosseyed heart,keith richards,Sep 18 2015,crosseyed heart,keith richards,Sep 18 2015,1
199,199,199,a1684,b1651,and the anonymous nobody,de la soul,Aug 26 2016,and the anonymous nobody...,de la soul,Aug 26 2016,1
268,268,268,a2146,b2652,close to the noise floor: formative uk electronica 1975-1984 [box set],various artists,Apr 29 2016,cover stories: brandi carlile celebrates 10 years of the story – an album to benefit war child,various artists,May 5 2017,0
218,218,218,a1791,b1602,the king of whys,owen,Jul 29 2016,american love,jake owen,Jul 29 2016,0
73,73,73,a491,b2003,noise reduction system: formative european electronica 1974-1984 [box set],various artists,Jul 28 2017,the hamilton mixtape,various artists,Dec 2 2016,0
35,35,35,a213,b2416,the wild,the rural alberta advantage,Oct 13 2017,the wild,raekwon,Mar 24 2017,0
303,303,303,a2405,b3178,george fest: a night to celebrate the music of george harrison [live],various artists,Feb 26 2016,quality control: control the streets volume 1,various artists,Dec 8 2017,0
29,29,29,a2045,b3178,day of the dead,various artists,May 20 2016,quality control: control the streets volume 1,various artists,Dec 8 2017,0
361,361,361,a287,b3024,thrice woven,wolves in the throne room,Sep 22 2017,wonderful wonderful,the killers,Sep 22 2017,0
392,392,392,a40,b1781,versatile,van morrison,Dec 1 2017,keep me singing,van morrison,Sep 30 2016,0
443,443,443,a757,b2668,common sense,j hus,May 12 2017,common sense,j hus,May 12 2017,1
217,217,217,a1787,b3178,running the voodoo down: explorations in psychrockfunksouljazz 1967-1980,various artists,Aug 5 2016,quality control: control the streets volume 1,various artists,Dec 8 2017,0
27,27,27,a1955,b1518,hollow bones,rival sons,Jun 10 2016,hollow bones,rival sons,Jun 10 2016,1
399,399,399,a470,b3178,"manchester, north of england: a story of independent music, greater manchester 1977-1993 [box set]",various artists,Aug 4 2017,quality control: control the streets volume 1,various artists,Dec 8 2017,0
380,380,380,a2989,b1675,rodeo,travis scott,Sep 4 2015,birds in the trap sing mcknight,travis scott,Sep 2 2016,0
156,156,156,a1398,b1886,the olympians,the olympians,Oct 28 2016,two vines,empire of the sun,Oct 28 2016,0
429,429,429,a69,b3147,if all i was was black,mavis staples,Nov 17 2017,if all i was was black,mavis staples,Nov 17 2017,1
