,Unnamed: 0,_id,ltable_ID,rtable_ID,ltable_Album,ltable_Artist,ltable_Release Date,rtable_Album,rtable_Artist,rtable_Release Date,label
90,90,90,a777,b2630,"from a room, vol. 1",chris stapleton,May 5 2017,from a room: volume 1,chris stapleton,May 5 2017,1
254,254,254,a2079,b3125,cloud nine,kygo,May 13 2016,kids in love,kygo,Nov 3 2017,0
283,283,283,a2225,b2616,iii,moderat,Apr 1 2016,iii,foster the people,Apr 30 2017,0
445,445,445,a761,b1752,"sing it high, sing it low: tumbleweed records 1971-1973",various artists,May 12 2017,trolls: original motion picture soundtrack,various artists,Sep 23 2016,0
461,461,461,a857,b2543,azd,actress,Apr 14 2017,azd,actress,Apr 17 2017,1
15,15,15,a1626,b1681,splendor & misery,clipping,Sep 9 2016,splendor & misery,clipping.,Sep 9 2016,1
316,316,316,a2564,b1127,4 1/2,steven wilson,Jan 22 2016,4 ½,steven wilson,Jan 22 2016,1
489,489,489,a925,b2457,the ride,nelly furtado,Mar 31 2017,the ride,nelly furtado,Mar 31 2017,1
159,159,159,a1417,b1865,you want it darker,leonard cohen,Oct 21 2016,you want it darker,leonard cohen,Oct 21 2016,1
153,153,153,a1376,b207,nightride [mixtape],tinashe,Nov 4 2016,aquarius,tinashe,Oct 7 2014,0
241,241,241,a1954,b1513,thick as thieves,the temper trap,Jun 10 2016,good times!,the monkees,Jun 10 2016,0
250,250,250,a2045,b2355,day of the dead,various artists,May 20 2016,beauty and the beast: original motion picture soundtrack,various artists,Mar 10 2017,0
390,390,390,a398,b2959,a deeper understanding,the war on drugs,Aug 25 2017,sketches of brunswick east,king gizzard & the lizard wizard and mild high club,Aug 25 2017,0
289,289,289,a2286,b3180,the black,asking alexandria,Mar 25 2016,asking alexandria,asking alexandria,Dec 15 2017,0
171,171,171,a1454,b583,ii,the early years,Oct 14 2016,ii,metz,May 4 2015,0
329,329,329,a2609,b1357,chorus [box set],lush,Dec 11 2015,blind spot,lush,Apr 15 2016,0
468,468,468,a881,b2497,all-amerikkkan bada$$,joey bada$$,Apr 7 2017,all-amerikkkan bada$$,joey badass,Apr 7 2017,1
355,355,355,a2834,b1601,the documentary 2,the game,Oct 9 2015,block wars,the game,Jul 29 2016,0
154,154,154,a1379,b1886,parachutes,frank iero and the patience,Oct 28 2016,two vines,empire of the sun,Oct 28 2016,0
37,37,37,a2146,b2108,close to the noise floor: formative uk electronica 1975-1984 [box set],various artists,Apr 29 2016,"she rocks, vol. 1",various artists,Jan 20 2017,0
205,205,205,a1708,b1631,endless,frank ocean,Aug 19 2016,endless,frank ocean,Aug 19 2016,1
366,366,366,a2891,b887,innocence & decadence,graveyard,Sep 25 2015,innocence & decadence,graveyard,Sep 25 2015,1
240,240,240,a1950,b1520,wrong crowd,tom odell,Jun 10 2016,wrong crowd,tom odell,Jun 10 2016,1
108,108,108,a1072,b2263,don't get lost,the brian jonestown massacre,Feb 24 2017,still // alone,the golden filter,Feb 24 2017,0
45,45,45,a2412,b2205,god don't never change: the songs of blind willie johnson,various artists,Feb 26 2016,fifty shades darker: original motion picture soundtrack,various artists,Feb 10 2017,0
438,438,438,a726,b2691,the king & i,faith evans and the notorious b.i.g.,May 19 2017,in the rude!,the basics,May 19 2017,0
21,21,21,a1664,b1668,false readings on,eluvium,Sep 2 2016,false readings on,eluvium,Sep 2 2016,1
367,367,367,a290,b3016,hiss spun,chelsea wolfe,Sep 22 2017,hiss spun,chelsea wolfe,Sep 22 2017,1
96,96,96,a905,b1752,resistance radio: the man in the high castle album,various artists,Apr 7 2017,trolls: original motion picture soundtrack,various artists,Sep 23 2016,0
233,233,233,a1894,b1539,alice bag,alice bag,Jun 24 2016,alice bag,alice bag,Jun 24 2016,1
428,428,428,a689,b2763,life is good,flogging molly,Jun 2 2017,is this the life we really want?,roger waters,Jun 2 2017,0
118,118,118,a1163,b2063,not even happiness,julie byrne,Jan 27 2017,not even happiness,julie byrne,Jan 13 2017,1
124,124,124,a1208,b1780,epoch,tycho,Jan 20 2017,epoch,tycho,Sep 30 2016,1
191,191,191,a1616,b302,rejoice! i'm dead!,gong,Sep 16 2016,i see you,gong,Nov 18 2014,0
374,374,374,a2953,b835,good sad happy bad,micachu & the shapes,Sep 11 2015,that's the spirit,bring me the horizon,Sep 11 2015,0
492,492,492,a952,b2420,from deewee,soulwax,Mar 24 2017,from deewee,soulwax,Mar 24 2017,1
311,311,311,a2509,b3151,this is acting,sia,Jan 29 2016,everyday is christmas,sia,Nov 17 2017,0
