,_id,ltable_ID,rtable_ID,ltable_Album,ltable_Artist,ltable_Release Date,rtable_Album,rtable_Artist,rtable_Release Date,label
0,0,a1024,b2294,world eater,blanck mass,Mar 3 2017,world eater,blanck mass,Mar 3 2017,1
1,1,a1074,b2263,youngish american,dams of the west,Feb 24 2017,still // alone,the golden filter,Feb 24 2017,0
2,2,a1094,b2236,terrible human beings,the orwells,Feb 17 2017,terrible human beings,the orwells,Feb 17 2017,1
3,3,a1116,b320,new order presents be music,various artists,Feb 17 2017,i'll be home for christmas,various artists,Nov 24 2014,0
4,4,a1143,b2171,process,sampha,Feb 3 2017,process,sampha,Feb 3 2017,1
5,5,a1183,b294,myths 002 [ep],ariel pink,Jan 27 2017,pom pom,ariel pink,Nov 17 2014,0
6,6,a1208,b1780,epoch,tycho,Jan 20 2017,epoch,tycho,Sep 30 2016,1
7,7,a1260,b3067,the return of east atlanta santa,gucci mane,Dec 16 2016,mr. davis,gucci mane,Oct 13 2017,0
8,8,a1264,b1528,peace trail,neil young,Dec 9 2016,earth,neil young,Jun 17 2016,0
9,9,a1280,b2892,the hamilton mixtape,various artists,Dec 2 2016,punk goes pop vol. 7,various artists,Jul 14 2017,0
10,10,a1416,b1863,the serenity of suffering,korn,Oct 21 2016,the serenity of suffering,korn,Oct 21 2016,1
11,11,a1493,b150,requiem,goat,Oct 7 2016,commune,goat,Sep 23 2014,0
12,12,a152,b3113,beach house iii,ty dolla $ign,Oct 27 2017,beach house 3,ty dolla sign,Oct 27 2017,1
13,13,a1569,b553,"young as the morning, old as the sea",passenger,Sep 23 2016,whispers ii,passenger,Apr 20 2015,0
14,14,a1606,b1720,tidal wave,taking back sunday,Sep 16 2016,tidal wave,taking back sunday,Sep 16 2016,1
15,15,a1626,b1681,splendor & misery,clipping,Sep 9 2016,splendor & misery,clipping.,Sep 9 2016,1
16,16,a1641,b1682,skeleton tree,nick cave & the bad seeds,Sep 9 2016,act v: hymns with the devil in confessional,the dear hunter,Sep 9 2016,0
17,17,a1645,b1696,sea of noise,st. paul & the broken bones,Sep 9 2016,skeleton tree,nick cave and the bad seeds,Sep 9 2016,0
18,18,a1659,b1682,signs of light,the head and the heart,Sep 9 2016,act v: hymns with the devil in confessional,the dear hunter,Sep 9 2016,0
19,19,a1659,b1703,signs of light,the head and the heart,Sep 9 2016,atmosphères,"tigran hamasyan, arve henriksen, eivind aarset, and jan bang",Sep 9 2016,0
20,20,a1662,b1675,birds in the trap sing mcknight,travis scott,Sep 2 2016,birds in the trap sing mcknight,travis scott,Sep 2 2016,1
21,21,a1664,b1668,false readings on,eluvium,Sep 2 2016,false readings on,eluvium,Sep 2 2016,1
22,22,a1801,b1599,major key,dj khaled,Jul 29 2016,major key,dj khaled,Jul 29 2016,1
23,23,a1917,b461,friday night [live],will butler,Jun 17 2016,policy,will butler,Mar 10 2015,0
24,24,a1924,b1507,blood//sugar//secs//traffic,the gotobeds,Jun 10 2016,fitz and the tantrums,fitz and the tantrums,Jun 10 2016,0
25,25,a1926,b1507,charlie faye & the fayettes,charlie faye & the fayettes,Jun 10 2016,fitz and the tantrums,fitz and the tantrums,Jun 10 2016,0
26,26,a1932,b1507,breakin' point,peter bjorn and john,Jun 10 2016,fitz and the tantrums,fitz and the tantrums,Jun 10 2016,0
27,27,a1955,b1518,hollow bones,rival sons,Jun 10 2016,hollow bones,rival sons,Jun 10 2016,1
28,28,a20,b2329,pop 2 [mixtape],charli xcx,Dec 15 2017,number 1 angel,charli xcx,Mar 10 2017,0
29,29,a2045,b3178,day of the dead,various artists,May 20 2016,quality control: control the streets volume 1,various artists,Dec 8 2017,0
30,30,a2054,b1445,mayday,boys noize,May 20 2016,mayday,boys noize,May 20 2016,1
31,31,a2062,b1426,coloring book [mixtape],chance the rapper,May 13 2016,coloring book,chance the rapper,May 13 2016,0
32,32,a2079,b1435,cloud nine,kygo,May 13 2016,cloud nine,kygo,May 13 2016,1
33,33,a2099,b498,bottomless pit,death grips,May 6 2016,the powers that b,death grips,Mar 31 2015,0
34,34,a2119,b1418,solid states,the posies,May 6 2016,chrome,the screaming jets,May 6 2016,0
35,35,a213,b2416,the wild,the rural alberta advantage,Oct 13 2017,the wild,raekwon,Mar 24 2017,0
36,36,a2133,b1388,waltzed in from the rumbling,plants and animals,Apr 29 2016,balter/saunier,"ensemble dal niente, marcos balter, and deerhoof",Apr 29 2016,0
37,37,a2146,b2108,close to the noise floor: formative uk electronica 1975-1984 [box set],various artists,Apr 29 2016,"she rocks, vol. 1",various artists,Jan 20 2017,0
38,38,a2198,b1337,gore,deftones,Apr 8 2016,gore,deftones,Apr 8 2016,1
39,39,a22,b1890,pressure,jeezy,Dec 15 2017,trap or die 3,jeezy,Oct 28 2016,0
40,40,a2228,b1314,everything you've come to expect,the last shadow puppets,Apr 1 2016,the wilderness,explosions in the sky,Apr 1 2016,0
41,41,a2254,b2887,psychopomp,japanese breakfast,Apr 1 2016,soft sounds from another planet,japanese breakfast,Jul 14 2017,0
42,42,a2300,b1288,"barbara barbara, we face a shining future",underworld,Mar 18 2016,"barbara barbara, we face a shining future",underworld,Mar 18 2016,1
