Album,Artist,Genre,Label,Producer,Release Date,Meta Score
Wrong Creatures,Black Rebel Motorcycle Club,['Pop/Rock'],['Vagrant Records'],,Jan 12 2018,69
No Cross No Crown,Corrosion of Conformity,['Pop/Rock'],['Nuclear Blast'],,Jan 12 2018,77
Encore,Anderson East,['Singer-Songwriter'],['Low Country Sound'],,Jan 12 2018,74
A Day With The Homies [EP],Panda Bear,['Pop/Rock'],['Domino'],,Jan 12 2018,74
Four Stones,Dean McPhee,['Alternative'],['Hood Faire'],,Jan 12 2018,84
Songs of Praise,Shame,['Pop/Rock'],['Dead Oceans Records'],,Jan 12 2018,84
Camila,Camila Cabello,['Pop'],['Epic'],,Jan 12 2018,75
Vale,Black Veil Brides,['Alternative/Indie Rock'],"['Island ', ' Republic']",,Jan 12 2018,66
Underworld,Tonight Alive,['Pop/Rock'],['Hopeless Records'],,Jan 12 2018,63
Ringthing,Jaguwar,['Pop/Rock'],['Tapete Records'],,Jan 12 2018,66
Blue Madonna,BØRNS,['Pop'],['Interscope'],,Jan 12 2018,67
POST-,Jeff Rosenstock,['Pop/Rock'],['Polyvinyl'],,Jan 2 2018,90
I,Kaukolampi,['Electronic'],['Svart'],,Dec 22 2017,74
Rainbow Mirror,Prurient,['Avant-Garde'],['Profound Lore'],,Dec 22 2017,72
"Huncho Jack, Jack Huncho",Huncho Jack,['Rap'],['Virgin EMI'],,Dec 21 2017,66
Saturation III,BROCKHAMPTON,['Rap'],['BROCKHAMPTON'],,Dec 15 2017,82
No One Ever Really Dies,N.E.R.D,['Pop/Rock'],['Columbia'],,Dec 15 2017,74
Revival,Eminem,['Rap'],['Aftermath'],,Dec 15 2017,50
Box Set #4: Curated by Erykah Badu [Box Set],Fela Kuti,['International'],['Knitting Factory Records'],,Dec 15 2017,87
Pop 2 [Mixtape],Charli XCX,['Pop/Rock'],['Atlantic'],,Dec 15 2017,84
The Beautiful & Damned,G-Eazy,['Rap'],['RCA'],,Dec 15 2017,59
Pressure,Jeezy,['Rap'],['Def Jam'],,Dec 15 2017,66
Asking Alexandria,Asking Alexandria,['Pop/Rock'],['Sumerian Records'],,Dec 15 2017,73
Laughing At The System [EP],Total Control,['Pop/Rock'],['Alter'],,Dec 8 2017,83
Goin' Platinum!,Robert Finley,['Pop'],['Nonesuch'],,Dec 8 2017,81
First Light,Dan Michaelson,['Pop/Rock'],['The State51 Conspiracy'],,Dec 8 2017,79
Tribute to 2,Jim James,['Pop/Rock'],['ATO'],,Dec 8 2017,72
Finding Shore,Tom Rogerson,['Pop/Rock'],['Dead Oceans Records'],,Dec 8 2017,74
"How to Solve Our Human Problems, Pt. 1 [EP]",Belle and Sebastian,['Pop/Rock'],['Matador'],,Dec 8 2017,76
QTY,QTY,['Pop/Rock'],['Dirty Hit'],,Dec 8 2017,72
You Might Be Smiling Now,The Just Joans,['Pop/Rock'],['Fika Recordings'],,Dec 8 2017,72
Double Or Nothing,Big Sean,['Rap'],['Def Jam'],,Dec 8 2017,54
Thanks for Listening,Chris Thile,['Folk'],['Nonesuch'],,Dec 8 2017,72
What Makes You Country,Luke Bryan,['Country'],['Capitol Nashville'],,Dec 8 2017,60
Rubba Band Business: The Album,Juicy J,['Rap'],['Columbia'],,Dec 8 2017,59
Lex,Visible Cloaks,['Electronic'],['RVNG Intl.'],,Dec 8 2017,77
2 Tha Left,G Perico,['Rap'],['Caroline'],,Dec 8 2017,82
War & Leisure,Miguel,['R&B'],['RCA'],,Dec 1 2017,81
My House From All Angles,Mike Dunn,['Electronic'],[],,Dec 1 2017,66
Versatile,Van Morrison,['Pop/Rock'],['SMG'],,Dec 1 2017,68
In An Open Field,Nicholas Krgovich,['Pop/Rock'],['Tin Angel'],,Dec 1 2017,72
The Visitor,Neil Young,['Folk-Rock'],['Reprise'],,Dec 1 2017,68
Songs of Experience,U2,['Pop/Rock'],['Interscope'],,Dec 1 2017,63
Change,Cindy Wilson,['Pop/Rock'],['Kill Rock Stars'],,Dec 1 2017,74
On Air,The Rolling Stones,['Pop/Rock'],['Universal'],,Dec 1 2017,82
Weighing of the Heart,Nabihah Iqbal,['Pop/Rock'],['Ninja Tune'],,Dec 1 2017,77
Livin' in Elizabethan Times,Alien Stadium,['Pop/Rock'],['Double Six'],,Dec 1 2017,79
